company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Amadeus IT,https://corporate.amadeus.com/documents/en/investors/2024/corporate-governance/non-financial-information-2024.pdf,Spain,Technology & Communications,Software & IT Services,210,EY,1,"Amadeus has purchased carbon credits in the recent years and is planning to do so in the short term
for two purposes: (i) to compensate for the emissions from business travel, and (ii) to compensate for
the scope 1 and 2 emissions that could not be reduced to meet its progressive path to carbon
neutrality by 202562. The company is committed to purchasing only carbon credits from projects that
are verified by a third party and consider recognized quality standards. Consequently, Amadeus
purchases Certified Emissions Reductions (CERs) from the United Nations’ Clean Development
Mechanism (CDM) projects.
The CDM is one of the market-based mechanisms defined in the Kyoto Protocol. It facilitates
investment in emission reduction projects in exchange for Certified Emission Reductions (CERs) by
authorized third parties. One CER unit is equivalent to the reduction of 1 t of CO2
. The United Nations
market-based mechanisms defined in the Kyoto Protocol stimulate sustainable development,
address emissions in a cost-effective way and facilitate contribution by the private sector to
emission reduction efforts. In 2024, a total of 27,779 t of CO2e were cancelled through the purchase of carbon credits. As
indicated above, the 100% are verified against recognized quality standards.
Amadeus has not undertaken specific actions to remove or store GHG emissions.
Nevertheless, in the long term, Amadeus has committed to neutralize residual emissions (10% of base
year emissions) to reach net zero. In compliance with the SBTi guidelines, the neutralization of these
emissions will be done through carbon removal and storage projects. This will be done outside
Amadeus value chain. ","27,779",0,100,CDM,0,0,,
AMAG Austria Metall,https://www.amag-al4u.com/fileadmin/user_upload/amag/Investor_Relations/Publikationen/2024/AMAG_GJ2024_Finanzbericht_en.pdf,Austria,Extractives & Mineral Processing,Metals & Mining,115,EY,3,"AMAG is not currently pursuing any projects for the extraction and storage of CO2 equivalents at the
site or in the upstream or downstream supply chain.
The purchase of CO2 credits in the form of certificates with the aim of CO2 reduction is not part of
AMAG's business strategy, which focuses on technical solutions for CO2 reduction and substitution. ",0,,,,,,,
AMG Critical Materials,https://reports.amg-nv.com/2024/_assets/downloads/entire-amg-ar24.pdf?h=S9LODnP_,Netherlands,Resource Transformation,Chemicals,59,KPMG,3,"AMG does not have GHG removal and GHG mitigation projects financed through carbon credits as prescribed in Disclosure
Requirement E1-7.",0,,,,,,,
Amplifon,https://corporate.amplifon.com/content/dam/amplifon/archive/en/investors/financial-reports/2025/250321_Amplifon_REPORT_ENG_WEB.pdf,Italy,Health Care,Health Care Distributors,121,KPMG,3,,0,,,,,,,
Amundi,https://about.amundi.com/files/nuxeo/dl/48abea4f-1ecf-4f4c-a5bf-2110d952425b,France,Financials,Asset Management & Custody Activities,90,PwC & Forvis Mazars,3,,0,,,,,,,
Arcadis,https://media.arcadis.com/-/media/project/arcadiscom/com/investors/arcadis-annual-integrated-report/2025/arcadis-annual-integrated-report-2024.pdf,Netherlands,Infrastructure,Engineering & Construction Services,110,PwC,1,"Beyond our value chain, we purchase carbon offsetting credits for our scope 1, scope 2 and select scope 3 categories (category 2 to 7). The majority of the credits we purchased and retired in 2024 came from the ""Nii Kaniti"" project in Peru, which is a forest conservation (REDD) project. The project is located in seven communities belonging to the Shipibo Conibo and Cacataibo ethnicity, which, when grouped, occupy an area of 127,004 hectares of forest.
Our offsets purchase supports a portion of this project. The purpose of the project is to conserve the forests of these communities against the advance of deforestation and degradation. The project reduces the pressure to change land use in the project area by four means: proper use of communal land, capacity building for the management of natural resources, project finance and market linkages, and finally, strategic alliances. The project has been verified under the VERRA standards VCS and CCB by AENOR. The carbon offsetting credits listed below in the table Purchased carbon credits are not used to claim lower emissions, meaning that these GHG emission reductions are not subtracted from our published GHG emissions in Table gross scopes 1, 2, 3 and total GHG emissions. For the carbon credits planned to be cancelled in 2025 (for our 2024 emissions), we have an existing contract with our partner Fair Climate Fund. We purchase these credits to help accelerate a planet positive future and improve quality of life for people around the world. The carbon offsetting credits listed below in the table Purchased carbon credits are not used to claim lower emissions, meaning that these GHG emission reductions are not subtracted from our published GHG emissions in Table gross scopes 1, 2, 3 and total GHG emissions. For the carbon credits planned to be cancelled in 2025 (for our 2024 emissions), we have an existing contract with our partner Fair Climate Fund. We purchase these credits to help accelerate a planet positive future and improve quality of life for people around the world.","75,077",0,100,"VCS, CCB",0,0,,
Arena Hospitality,https://www.arenahospitalitygroup.com/datastore/filestore/137/Annual-Report-2024.pdf,Croatia,Services,Hotels & Lodging,44,Deloitte,3,,0,,,,,,,
Argenx,https://argenx.com/content/dam/argenx-corp/media-documents/argenx-Integrated_Annual_Report_2024-PDF_print_1.pdf.coredownload.inline.pdf,Netherlands,Health Care,Biotechnology & Pharmaceuticals,70,Deloitte,3,,0,,,,,,,
Ariston Holding,https://www.aristongroup.com/content/dam/aristoninvestors/documents/reports/Ariston%20Group_FY_Annual%20Report%202024%20-%20WEB.pdf,Netherlands,Consumer Goods,Appliance Manufacturing,106,EY,3,,0,,,,,,,
Arkema,https://www.arkema.com/files/live/sites/shared_arkema/files/downloads/investorrelations/en/finance/ARKEMA_DEU_2024_UK_MEL.pdf,France,Resource Transformation,Chemicals,115,KPMG & Forvis Mazars,3,,0,,,,,,,
Aroundtown,https://www.aroundtown.de/aroundtown.de/Data_Objects/Downloads/Financial_Reports/FY_2024_Financials/AT_FY_2024.pdf ,Luxembourg,Infrastructure,Real Estate,112,KPMG,3,,0,,,,,,,
Asklepios Kliniken,https://www.asklepios.com/dam/jcr:b88b535a-3aaf-4c77-b3ff-39c2b9ed5188/ASK_Annual%20Report%202024.pdf,Germany,Health Care,Health Care Distributors,119,KPMG,3,,0,,,,,,,
ASM International,https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf,Netherlands,Technology & Communications,Semiconductors,37,KPMG,3,,0,,,,,,,
ASML Holding,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf#page=1,Netherlands,Technology & Communications,Semiconductors,164,KPMG,3WIP,"Compensating residual emissions
Following the hierarchy outlined above, we
aim to minimize GHG emissions from our
activities as much as possible. Where this
is not feasible, we plan to compensate
emissions from our own operations,
business travel and commuting, by retiring
the same volume of voluntary emission
reduction certificates (VERs, also called
‘offsets’ or ‘carbon credits’) or equivalent,
in a phased approach, starting in 2025.
Although compensating residual emissions
enables us to become GHG neutral, this is
currently not considered a substitute for
reducing our emissions. As part of our
Climate Transition Plan, we have defined
separate (gross) emission reduction targets
that are pursued independently of any
offsetting. We strive to assemble a costeffective offset portfolio from projects that
fulfill best-practice quality criteria –
additionality, permanence, accurate
quantification and transparency – and are
validated by leading third-party standards. In
ASML’s offset portfolio only ‘removal’
offsets (nature- and/or tech-based) are
considered eligible.
The composition of our offset portfolio will
be based on combined guidance from
various external sources, such as the
(Revised) Oxford Principles for Net Zero
Aligned Carbon Offsetting, SBTi’s Beyond
Value Chain Mitigation report, peer
benchmarking and regulatory developments
in the EU. We intend that the initial portfolio
to offset our residual emissions (from 2025
onward) will only contain nature-based
removal projects (such as afforestation and
reforestation), since tech-based options
(such as direct air capture) currently have
limited availability and poor costeffectiveness. These innovative solutions
may, however, be considered as potential
investment opportunities in our ESG
innovation investment program.
In addition to our selection criteria described
above, we will aim to prioritize sourcing
recent vintage offsets from projects in
regions where we operate. This allows us to
maintain closer oversight of project
governance, including the opportunity for inperson site visits, and aligns with our goal of
purchasing offsets where the carbon
removal impact has been achieved in recent
years. Offsetting residual emissions will start
in 2025. As of December 31, 2024, ASML
did not hold any VERs based on existing
contractual agreements.
We define our emissions from own activities
that qualify for compensation as of 2025
as our scope 1, scope 2 and scope 3
categories 6 (business travel) and 7
(employee commuting) emissions.
We expect that compensation as of 2030
for the supply chain emissions (our scope 3
categories 1, 2 and 4) will take place in the
upstream value chain, at the level and
expense of our suppliers. For the remaining
product use emissions (scope 3 category
11), we continue our collaboration with
customers to explore the technical
possibilities to eliminate residual emissions.",0,,,,,,,
ASR Nederland,https://annualreport.asrnl.com/2024/xmlpages/tan/files?p_file_id=445,Netherlands,Financials,Insurance,128,KPMG,2,"a.s.r. has not developed any projects that result in GHG removals or storage in its own operations, nor
contributed to any in its upstream and downstream value chain.
Although a.s.r. has joined the Net Zero Asset Managers Initiative as well as the Forum for Insurance
Transition to net zero and has the ambition to support the transition to a net-zero economy, it has not yet
disclosed (long-term) net-zero targets for its own operations or portfolios. Currently, a.s.r. has set interim
emission reduction targets for the short and medium term only and a.s.r.'s current focus is on achieving
these near-term emission reductions. In the longer term, when net-zero targets have been set, there will likely be some residual emissions that will need to be neutralised. It is therefore possible that some use of
carbon removals may be necessary over the longer term. a.s.r. is currently monitoring market developments
and options will be investigated to neutralise residual financed emissions, if any, with carbon removals in
the future. a.s.r. has financed climate change mitigation projects outside its value chain through the purchase of
carbon credits.a.s.r. has cancelled carbon credits to offset market-based scope 1, 2 and 3 emissions from the office
location Utrecht, leading to carbon neutrality for the office location Utrecht. This climate neutrality claim is
accompanied by the emission reduction target as stated in section 6.2.1.4 and does not impede or diminish
a.s.r.'s efforts to achieve its GHG emission reduction targets. For 2025, a.s.r. will cancel carbon credits to
offset market-based scope 1 and 2 emissions for all offices managed by Facilities.
The carbon credits are provided by Trees for All. Trees for All only sells carbon credits from projects certified
by Plan Vivo against the Plan Vivo Carbon Standard. The Plan Vivo Carbon Standard makes sure these
projects meet strict environmental guidelines. Plan Vivo is also recognised by Milieu Centraal, a Dutch
organisation supported by the government.","3,300",100,0,Plan Vivo,0,0,,
